-------------------------------------PARAMETERS: -------------------------------------
Structure:	AlₘGa₁₋ₘAsₙSb₁₋ₙ
n = 0.5
-------------------------------------ENERGY DATA: -------------------------------------	

m		m_e [in m_0 units]
0.0000		0.0530
0.0100		0.0539
0.0200		0.0548
0.0300		0.0558
0.0400		0.0567
0.0500		0.0576
0.0600		0.0585
0.0700		0.0594
0.0800		0.0604
0.0900		0.0613
0.1000		0.0622
0.1100		0.0631
0.1200		0.0640
0.1300		0.0650
0.1400		0.0659
0.1500		0.0668
0.1600		0.0677
0.1700		0.0686
0.1800		0.0696
0.1900		0.0705
0.2000		0.0714
0.2100		0.0723
0.2200		0.0732
0.2300		0.0742
0.2400		0.0751
0.2500		0.0760
0.2600		0.0769
0.2700		0.0778
0.2800		0.0788
0.2900		0.0797
0.3000		0.0806
0.3100		0.0815
0.3200		0.0824
0.3300		0.0834
0.3400		0.0843
0.3500		0.0852
0.3600		0.0861
0.3700		0.0870
0.3800		0.0880
0.3900		0.0889
0.4000		0.0898
0.4100		0.0907
0.4200		0.0916
0.4300		0.0926
0.4400		0.0935
0.4500		0.0944
0.4600		0.0953
0.4700		0.0962
0.4800		0.0972
0.4900		0.0981
0.5000		0.0990
0.5100		0.0999
0.5200		0.1008
0.5300		0.1018
0.5400		0.1027
0.5500		0.1036
0.5600		0.1045
0.5700		0.1054
0.5800		0.1064
0.5900		0.1073
0.6000		0.1082
0.6100		0.1091
0.6200		0.1100
0.6300		0.1110
0.6400		0.1119
0.6500		0.1128
0.6600		0.1137
0.6700		0.1146
0.6800		0.1156
0.6900		0.1165
0.7000		0.1174
0.7100		0.1183
0.7200		0.1192
0.7300		0.1202
0.7400		0.1211
0.7500		0.1220
0.7600		0.1229
0.7700		0.1238
0.7800		0.1248
0.7900		0.1257
0.8000		0.1266
0.8100		0.1275
0.8200		0.1284
0.8300		0.1294
0.8400		0.1303
0.8500		0.1312
0.8600		0.1321
0.8700		0.1330
0.8800		0.1340
0.8900		0.1349
0.9000		0.1358
0.9100		0.1367
0.9200		0.1376
0.9300		0.1386
0.9400		0.1395
0.9500		0.1404
0.9600		0.1413
0.9700		0.1422
0.9800		0.1432
0.9900		0.1441
