-------------------------------------PARAMETERS: -------------------------------------
Structure:	GaₘIn₁₋ₘPₙAs₁₋ₙ
m = 0.5
-------------------------------------ENERGY DATA: -------------------------------------	

n		m_e [in m_0 units]
0.0000		0.0442
0.0100		0.0448
0.0200		0.0454
0.0300		0.0459
0.0400		0.0465
0.0500		0.0471
0.0600		0.0476
0.0700		0.0482
0.0800		0.0488
0.0900		0.0493
0.1000		0.0499
0.1100		0.0504
0.1200		0.0510
0.1300		0.0516
0.1400		0.0521
0.1500		0.0527
0.1600		0.0533
0.1700		0.0538
0.1800		0.0544
0.1900		0.0549
0.2000		0.0555
0.2100		0.0560
0.2200		0.0566
0.2300		0.0572
0.2400		0.0577
0.2500		0.0583
0.2600		0.0588
0.2700		0.0594
0.2800		0.0599
0.2900		0.0605
0.3000		0.0610
0.3100		0.0616
0.3200		0.0621
0.3300		0.0627
0.3400		0.0632
0.3500		0.0638
0.3600		0.0643
0.3700		0.0649
0.3800		0.0654
0.3900		0.0660
0.4000		0.0665
0.4100		0.0670
0.4200		0.0676
0.4300		0.0681
0.4400		0.0687
0.4500		0.0692
0.4600		0.0697
0.4700		0.0703
0.4800		0.0708
0.4900		0.0713
0.5000		0.0719
0.5100		0.0724
0.5200		0.0729
0.5300		0.0735
0.5400		0.0740
0.5500		0.0745
0.5600		0.0750
0.5700		0.0755
0.5800		0.0761
0.5900		0.0766
0.6000		0.0771
0.6100		0.0776
0.6200		0.0781
0.6300		0.0786
0.6400		0.0791
0.6500		0.0796
0.6600		0.0801
0.6700		0.0806
0.6800		0.0811
0.6900		0.0816
0.7000		0.0821
0.7100		0.0825
0.7200		0.0830
0.7300		0.0835
0.7400		0.0839
0.7500		0.0844
0.7600		0.0849
0.7700		0.0853
0.7800		0.0857
0.7900		0.0862
0.8000		0.0866
0.8100		0.0870
0.8200		0.0874
0.8300		0.0878
0.8400		0.0882
0.8500		0.0886
0.8600		0.0890
0.8700		0.0893
0.8800		0.0897
0.8900		0.0900
0.9000		0.0903
0.9100		0.0906
0.9200		0.0909
0.9300		0.0911
0.9400		0.0914
0.9500		0.0916
0.9600		0.0917
0.9700		0.0919
0.9800		0.0920
0.9900		0.0920
